,categories,geocodes,link,name,rating
16,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.127995, 'longitude': 11.588574}, 'roof': {'latitude': 48.127995, 'longitude': 11.588574}}",/v3/places/4d40810ecb84b60c6ccd86ab,Hotel Motel One München -Deutsches Museum,8.2
17,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.144785, 'longitude': 11.519672}, 'roof': {'latitude': 48.144785, 'longitude': 11.519672}}",/v3/places/57c999cf498e6143810998c9,"Holiday Inn Express Munich City West, an IHG Hotel",8.2
18,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.134416, 'longitude': 11.560984}, 'roof': {'latitude': 48.134416, 'longitude': 11.560984}}",/v3/places/4bc78f8293bdeee19f8337ae,Hotel Kraft,8.2
19,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.145478, 'longitude': 11.539814}, 'main': {'latitude': 48.145269, 'longitude': 11.539759}, 'roof': {'latitude': 48.145269, 'longitude': 11.539759}}",/v3/places/5491bb6f498e99415c7799ad,ibis München City Arnulfpark,8.2
20,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.102236, 'longitude': 11.529922}, 'main': {'latitude': 48.102323, 'longitude': 11.52968}, 'roof': {'latitude': 48.102323, 'longitude': 11.52968}}",/v3/places/5b557ac6840fc2002c068136,NYX Hotel Munich by Leonardo Hotels,8.2
21,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}, {'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.167907, 'longitude': 11.502001}, 'roof': {'latitude': 48.167907, 'longitude': 11.502001}}",/v3/places/4c125e81583c9c74813e3fa4,The Tent Munich,8.1
22,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}, {'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.138983, 'longitude': 11.560194}, 'main': {'latitude': 48.138959, 'longitude': 11.560374}, 'roof': {'latitude': 48.138959, 'longitude': 11.560374}}",/v3/places/4bcd9427511f952155c4b4c7,Wombats City Hostel Munich,8.1
23,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.179473, 'longitude': 11.506014}, 'roof': {'latitude': 48.179473, 'longitude': 11.506014}}",/v3/places/55c0cadc498efe3e633ff3f1,Harry's Home Hotel München,8.1
24,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 48.139018, 'longitude': 11.559062}, 'roof': {'latitude': 48.139018, 'longitude': 11.559062}}",/v3/places/5564a11e498e9707bfdabcd7,Aloft Munich,8.1
25,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 48.137102, 'longitude': 11.57901}, 'main': {'latitude': 48.137246, 'longitude': 11.579066}, 'roof': {'latitude': 48.137246, 'longitude': 11.579066}}",/v3/places/4bd3317ea8b3a5933550695f,Hotel Lux,8.0
