,categories,geocodes,link,name,popularity,rating
16,"[{'id': 10042, 'name': 'Opera House', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_operahouse_', 'suffix': '.png'}}, {'id': 10043, 'name': 'Theater', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_theater_', 'suffix': '.png'}}]","{'main': {'latitude': 50.108661, 'longitude': 8.674866}, 'roof': {'latitude': 50.108661, 'longitude': 8.674866}}",/v3/places/4b058851f964a5208bbe22e3,Schauspiel Frankfurt,0.9887056990782812,8.7
17,"[{'id': 16015, 'name': 'Forest', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}}]","{'main': {'latitude': 50.070784, 'longitude': 8.675177}}",/v3/places/4cb1bf8e39458cfaceab0da0,Frankfurter Stadtwald,0.9822147215370635,8.6
18,"[{'id': 16053, 'name': 'Waterfront', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/river_', 'suffix': '.png'}}]","{'main': {'latitude': 50.107743, 'longitude': 8.699734}}",/v3/places/4d9752e30caaa1434a178fb3,Mainufer / Ostend,0.9936388420096066,8.5
19,"[{'id': 10039, 'name': 'Music Venue', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/musicvenue_', 'suffix': '.png'}}, {'id': 10043, 'name': 'Theater', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_theater_', 'suffix': '.png'}}]","{'main': {'latitude': 50.119163, 'longitude': 8.698864}, 'roof': {'latitude': 50.119163, 'longitude': 8.698864}}",/v3/places/4b058851f964a5207cbe22e3,Künstlerhaus Mousonturm,0.9837725561469557,8.5
20,"[{'id': 17065, 'name': 'Farmers Market', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_farmersmarket_', 'suffix': '.png'}}, {'id': 17069, 'name': 'Grocery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 50.09942, 'longitude': 8.54593}, 'main': {'latitude': 50.099316, 'longitude': 8.545999}, 'roof': {'latitude': 50.099316, 'longitude': 8.545999}}",/v3/places/4c4aca00f7b49c74762ef7c1,Wochenmarkt Höchster Markt - FaM Alt-Höchst,0.9932493833571335,8.5
21,"[{'id': 16007, 'name': 'Structure', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]","{'main': {'latitude': 50.111103, 'longitude': 8.677553}, 'roof': {'latitude': 50.111163, 'longitude': 8.677525}}",/v3/places/4b05884ff964a5209ebd22e3,Goethehaus,0.9915060922460637,8.5
22,"[{'id': 16006, 'name': 'Bridge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/bridge_', 'suffix': '.png'}}]","{'main': {'latitude': 50.10846, 'longitude': 8.687535}}",/v3/places/4c8b650b52a98cfa6b7535e9,Alte Brücke,0.994399213664435,8.5
23,"[{'id': 10027, 'name': 'Museum', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_', 'suffix': '.png'}}]","{'main': {'latitude': 50.10522, 'longitude': 8.677616}, 'roof': {'latitude': 50.105163, 'longitude': 8.677657}}",/v3/places/4f2ea1fde4b03caf5402dc49,Deutsches Filmmuseum,0.9788394132156303,8.5
24,"[{'id': 16032, 'name': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]","{'main': {'latitude': 50.118928, 'longitude': 8.693042}, 'roof': {'latitude': 50.118928, 'longitude': 8.693042}}",/v3/places/4b49cf5bf964a520f37326e3,Bethmannpark,0.9887613360286345,8.4
25,"[{'id': 16032, 'name': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}}]","{'main': {'latitude': 50.105446, 'longitude': 8.672847}}",/v3/places/4e0dcef0aeb7a5b33ee31312,Untermainkai,0.981936536785297,8.3
