,categories,geocodes,link,name,rating
27,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 12.977451, 'longitude': 77.579189}, 'main': {'latitude': 12.977554, 'longitude': 77.579194}, 'roof': {'latitude': 12.977554, 'longitude': 77.579194}}",/v3/places/4def22b9d22ddfee16f0676d,Hotel Kanthi Comforts,
28,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.979256, 'longitude': 77.579026}, 'roof': {'latitude': 12.979256, 'longitude': 77.579026}}",/v3/places/4e1590c752b1b9e564411333,Hotel Silverstar,
29,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.979867, 'longitude': 77.578864}, 'roof': {'latitude': 12.979867, 'longitude': 77.578864}}",/v3/places/59d2ee34295513621bc4d8ee,Holiday Inn Express and Suites,
30,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.977671, 'longitude': 77.576752}, 'roof': {'latitude': 12.977671, 'longitude': 77.576752}}",/v3/places/51ac92ca498e5d777ead0272,Arafa Inn,
31,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.982493, 'longitude': 77.576305}, 'roof': {'latitude': 12.982493, 'longitude': 77.576305}}",/v3/places/5b4228077564f7002cd090a4,Renaissance Hotel by Marriott,
32,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.984194, 'longitude': 77.576481}, 'roof': {'latitude': 12.984194, 'longitude': 77.576481}}",/v3/places/5ba9d8944aa3f80039007cdf,Renaissance Bengaluru Race Course Hotel,
33,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 12.972634, 'longitude': 77.570283}, 'main': {'latitude': 12.972633, 'longitude': 77.57016}, 'roof': {'latitude': 12.972633, 'longitude': 77.57016}}",/v3/places/5a757df1112c6c1294aef500,Savour The Ample Meaty Recipes At The New Govind Rao Military Hotel!,
34,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.943511, 'longitude': 77.583584}, 'roof': {'latitude': 12.943511, 'longitude': 77.583584}}",/v3/places/5555b21d498ec7a8d252f56e,Treebo Akshaya Lalbagh Inn,
35,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.969265, 'longitude': 77.629808}, 'roof': {'latitude': 12.969265, 'longitude': 77.629808}}",/v3/places/4bdf2ddb7ea362b5096143c4,The Cambridge House,
36,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.944668, 'longitude': 77.619896}, 'roof': {'latitude': 12.944668, 'longitude': 77.619896}}",/v3/places/4e3f53e3e4cdab9b935cd514,Hotel Ganga Sagar(Koramangala),
37,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 13.003333, 'longitude': 77.620089}, 'roof': {'latitude': 13.003333, 'longitude': 77.620089}}",/v3/places/5056c170e4b0978a109ccdac,Emerald Grandeur,
38,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 13.017713, 'longitude': 77.591769}, 'roof': {'latitude': 13.017713, 'longitude': 77.591769}}",/v3/places/4c06166b8f8fa593a7c8f20d,Coraltree Hotel,
39,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.955478, 'longitude': 77.6411}, 'roof': {'latitude': 12.955478, 'longitude': 77.6411}}",/v3/places/54214308498ec391c43e69ea,Ramada Encore,
40,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.938255, 'longitude': 77.631089}, 'roof': {'latitude': 12.938255, 'longitude': 77.631089}}",/v3/places/4cb4b5c4db32f04d9ebfdf4d,Hotel Peearl Inn,
41,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.970578, 'longitude': 77.64712}, 'roof': {'latitude': 12.970578, 'longitude': 77.64712}}",/v3/places/4bd846176a51ce7259bcde3f,Splendid World,
42,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 13.014056, 'longitude': 77.554264}, 'roof': {'latitude': 13.014056, 'longitude': 77.554264}}",/v3/places/4d4c1c72a33fb1f7a9d7ba80,"The Parijatha Hotel, Bangalore",
43,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.910404, 'longitude': 77.599175}, 'roof': {'latitude': 12.910404, 'longitude': 77.599175}}",/v3/places/5e264ff321bd5b00079408b1,Fountain Tree by TGI,
44,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 13.017015, 'longitude': 77.549022}, 'roof': {'latitude': 13.017015, 'longitude': 77.549022}}",/v3/places/588df3cfa36ecd05397b9fc9,RG Royal Hotel,
45,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.992568, 'longitude': 77.660694}, 'roof': {'latitude': 12.992568, 'longitude': 77.660694}}",/v3/places/5e3aa156bde85e0008f91674,Grand Mercure at Gopalan Signature Mall,
46,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 13.026285, 'longitude': 77.639709}, 'roof': {'latitude': 13.026285, 'longitude': 77.639709}}",/v3/places/4c567f68738e9c743a106d21,Hotel Jamayca,
47,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.929762, 'longitude': 77.683124}}",/v3/places/5e47b1d522080000085725f1,Novotel Bengaluru Outer Ring Road,
48,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.950107, 'longitude': 77.699122}, 'roof': {'latitude': 12.950107, 'longitude': 77.699122}}",/v3/places/5bd12d2b894eac002c7ac382,Radisson Blu Bengaluru Outer Ring Road,
49,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 12.959711, 'longitude': 77.748595}, 'roof': {'latitude': 12.959711, 'longitude': 77.748595}}",/v3/places/568d23e0498eb8a07239867e,Oakwood Premium Prestige Whitefield,
