,categories,geocodes,link,name,popularity,rating
16,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.108002, 'longitude': 8.659414}, 'roof': {'latitude': 50.108002, 'longitude': 8.659414}}",/v3/places/4b05884df964a52024bd22e3,The Pure,0.942341573783869,7.8
17,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.104844, 'longitude': 8.668011}, 'roof': {'latitude': 50.104844, 'longitude': 8.668011}}",/v3/places/5a7d3a259deb7d369fe2c273,Scandic Frankfurt Museumsufer,0.9940468463121975,7.8
18,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.105973, 'longitude': 8.652807}, 'roof': {'latitude': 50.105973, 'longitude': 8.652807}}",/v3/places/5e3dfba357fcde0008616baa,"Gekko House, Frankfurt, a Tribute Portfolio Hotel",0.9880380556740417,7.8
19,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.117251, 'longitude': 8.687318}, 'roof': {'latitude': 50.117251, 'longitude': 8.687318}}",/v3/places/4bc5c8c96a3e9c74c848f648,NH Frankfurt City,0.9961054134752694,7.8
20,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.054822, 'longitude': 8.594457}, 'roof': {'latitude': 50.054822, 'longitude': 8.594457}}",/v3/places/58da3c49a37d72379976be57,MOXY Frankfurt Airport,0.990931177092413,7.7
21,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.105727, 'longitude': 8.666513}, 'roof': {'latitude': 50.105727, 'longitude': 8.666513}}",/v3/places/4b05884cf964a520e7bc22e3,Le Méridien Frankfurt,0.9958272287235029,7.7
22,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.052564817611, 'longitude': 8.568992614746094}}",/v3/places/4fad71f9e4b01d34f6beb7bc,Hilton Garden Inn Frankfurt Airport,0.9975519741844551,7.7
23,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.109841, 'longitude': 8.651096}, 'roof': {'latitude': 50.109841, 'longitude': 8.651096}}",/v3/places/4b42d072f964a52020da25e3,Mövenpick Hotel Frankfurt City,0.9893918881326385,7.7
24,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.051766, 'longitude': 8.571002}, 'roof': {'latitude': 50.051766, 'longitude': 8.571002}}",/v3/places/5e3335e939b9ed0008f46926,Frankfurt Airport Marriott Hotel,0.9974592459338663,7.6
25,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.117424, 'longitude': 8.627135}, 'roof': {'latitude': 50.117424, 'longitude': 8.627135}}",/v3/places/4b75f6d7f964a5209d322ee3,"Radisson Blu Hotel, Frankfurt",0.9944919419150239,7.6
26,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}, {'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.108949, 'longitude': 8.66558}, 'roof': {'latitude': 50.108949, 'longitude': 8.66558}}",/v3/places/4b0ace21f964a5201f2823e3,Five Elements Hostel,0.9816583520335306,7.6
27,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.11237, 'longitude': 8.706925}, 'roof': {'latitude': 50.11237, 'longitude': 8.706925}}",/v3/places/5b0a6abb67f62b003a8ae872,Hampton by Hilton Frankfurt City Centre East,0.9930082899056026,7.6
28,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.077229, 'longitude': 8.628528}, 'roof': {'latitude': 50.077229, 'longitude': 8.628528}}",/v3/places/5ccae7ba234724002b9c0fd6,"Crowne Plaza Frankfurt Congress Hotel, an IHG Hotel",0.9876856883218041,7.6
29,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 50.110112, 'longitude': 8.678156}, 'main': {'latitude': 50.110237, 'longitude': 8.678094}, 'roof': {'latitude': 50.110237, 'longitude': 8.678094}}",/v3/places/5a675e68dd70c5625ba98287,Motel One Frankfurt-Römer,0.9960497765249161,7.6
30,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.108946, 'longitude': 8.64694}, 'roof': {'latitude': 50.108946, 'longitude': 8.64694}}",/v3/places/55e6bcfa498e9f0b8ce86be6,Hampton by Hilton Frankfurt City Centre Messe,0.9848482038537861,7.5
31,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.112185, 'longitude': 8.656234}, 'roof': {'latitude': 50.112185, 'longitude': 8.656234}}",/v3/places/4dfc5669d22d879302f50a55,NH Frankfurt Messe,0.9773928525064446,7.5
32,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.115902, 'longitude': 8.687306}, 'roof': {'latitude': 50.115902, 'longitude': 8.687306}}",/v3/places/4b05884df964a52027bd22e3,The Westin Grand Frankfurt,0.9956232265722075,7.5
33,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.113504, 'longitude': 8.674412}}",/v3/places/6107ff8d4883db7c0d576411,Ruby Louise Hotel Frankfurt,0.9910053596928841,7.5
34,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.117545, 'longitude': 8.680095}, 'roof': {'latitude': 50.117545, 'longitude': 8.680095}}",/v3/places/4c3abfbf4565e21eb4aa556a,Fleming's Deluxe Hotel Frankfurt-City,0.9868140427662692,7.4
35,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 50.110304, 'longitude': 8.667875}, 'main': {'latitude': 50.110155, 'longitude': 8.667727}, 'roof': {'latitude': 50.110155, 'longitude': 8.667727}}",/v3/places/5aae39670457b709471f746e,Hilton Garden Inn Frankfurt City Centre,0.9908384488418241,7.4
36,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 50.106461, 'longitude': 8.665386}, 'main': {'latitude': 50.106455, 'longitude': 8.665528}, 'roof': {'latitude': 50.106455, 'longitude': 8.665528}}",/v3/places/568e3b63498ec11b611c8863,The Frankfurt Hotel,0.9798408783219896,7.3
37,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.11181, 'longitude': 8.713594}, 'roof': {'latitude': 50.11181, 'longitude': 8.713594}}",/v3/places/4bd09cf21f89ce7251bc67ea,Hotel Motel One Frankfurt-East Side,0.9592737523413883,7.2
38,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 50.107749, 'longitude': 8.661146}, 'main': {'latitude': 50.107866, 'longitude': 8.661105}, 'roof': {'latitude': 50.107866, 'longitude': 8.661105}}",/v3/places/5a8b3a0d6dcf0445342256f7,Fleming's Express Hotel Frankfurt,0.9919140965486545,7.2
39,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.107846, 'longitude': 8.660911}, 'roof': {'latitude': 50.107846, 'longitude': 8.660911}}",/v3/places/4c5bdf537f661b8d4af7461c,Hotel Hamburger Hof,0.9749262810407819,7.1
40,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]","{'main': {'latitude': 50.051758, 'longitude': 8.571103}}",/v3/places/4b05884df964a52021bd22e3,Sheraton Frankfurt Hotel and Towers Conference Center,0.9993509022458782,7.1
