index,categories,geocodes,link,name,rating,popularity
34,"[{'id': 17131, 'name': 'Stationery Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}}]","{'main': {'latitude': 12.931777, 'longitude': 77.613069}, 'roof': {'latitude': 12.931777, 'longitude': 77.613069}}",/v3/places/4cceacd5ee23a143993e2da8,Staples,7.4,35
35,"[{'id': 17000, 'name': 'Retail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}}]","{'main': {'latitude': 12.974626, 'longitude': 77.547407}, 'roof': {'latitude': 12.974626, 'longitude': 77.547407}}",/v3/places/4e1869efd1648b834831c172,D-Mart,7.4,36
36,"[{'id': 17035, 'name': 'Drugstore', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/pharmacy_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 12.923345, 'longitude': 77.588426}, 'main': {'latitude': 12.923468, 'longitude': 77.588429}, 'roof': {'latitude': 12.923468, 'longitude': 77.588429}}",/v3/places/4c58376030d82d7f5586db62,Lakshmi medicals,6.9,37
37,"[{'id': 12111, 'name': 'Temple', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/religious_temple_', 'suffix': '.png'}}]","{'main': {'latitude': 13.009965, 'longitude': 77.551078}, 'roof': {'latitude': 13.009965, 'longitude': 77.551078}}",/v3/places/523ffbe02fc67eb0ef70fa44,ISKCON Temple,8.3,38
38,"[{'id': 12111, 'name': 'Temple', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/religious_temple_', 'suffix': '.png'}}]","{'main': {'latitude': 12.965914, 'longitude': 77.657413}, 'roof': {'latitude': 12.965914, 'longitude': 77.657413}}",/v3/places/4d48060f0bfd548137283900,Stand outside Bangalore Bull Temple,8.1,39
39,"[{'id': 12111, 'name': 'Temple', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/religious_temple_', 'suffix': '.png'}}]","{'main': {'latitude': 12.96959, 'longitude': 77.630563}, 'roof': {'latitude': 12.96959, 'longitude': 77.630563}}",/v3/places/4cadd7140e7bbfb7ac8b5b83,Shirdi Sai Baba Temple,8.1,40
40,"[{'id': 12084, 'name': 'Club House', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]","{'main': {'latitude': 12.974341, 'longitude': 77.600558}, 'roof': {'latitude': 12.974341, 'longitude': 77.600558}}",/v3/places/4be9627e9a54a59370fc0a11,Bowring Institute,7.8,41
41,"[{'id': 12065, 'name': 'Capitol Building', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_capitolbuilding_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 12.979046, 'longitude': 77.591843}, 'main': {'latitude': 12.979105, 'longitude': 77.591783}, 'roof': {'latitude': 12.979105, 'longitude': 77.591783}}",/v3/places/4c04b63439d476b09ddb31a7,Vidhana Soudha,7.3,42
42,"[{'id': 12111, 'name': 'Temple', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/religious_temple_', 'suffix': '.png'}}]","{'drop_off': {'latitude': 12.957743, 'longitude': 77.656777}, 'main': {'latitude': 12.957975, 'longitude': 77.656245}, 'roof': {'latitude': 12.957975, 'longitude': 77.656245}}",/v3/places/4c8079e22f1c236aba682743,"Shiva Temple, Total Mall",7.3,43
43,"[{'id': 12000, 'name': 'Community and Government', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/default_', 'suffix': '.png'}}]","{'main': {'latitude': 12.989471, 'longitude': 77.596772}, 'roof': {'latitude': 12.989471, 'longitude': 77.596772}}",/v3/places/4ea2afe05c5cd12b35bb94a5,Karnataka Badminton Association,7.1,44
44,"[{'id': 12070, 'name': 'Law Enforcement and Public Safety', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_', 'suffix': '.png'}}]","{'main': {'latitude': 12.977836, 'longitude': 77.592671}, 'roof': {'latitude': 12.977836, 'longitude': 77.592671}}",/v3/places/4cc512821e596dcbcdcbd567,Karnataka High Court,,45
45,"[{'id': 10051, 'name': 'Stadium', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/stadium_cricket_', 'suffix': '.png'}}]","{'main': {'latitude': 12.978861, 'longitude': 77.599418}}",/v3/places/4b9f5637f964a5203f1d37e3,Chinnaswamy Stadium,8.7,46
47,"[{'id': 18039, 'name': 'Race Track', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/racetrack_', 'suffix': '.png'}}]","{'main': {'latitude': 12.984049, 'longitude': 77.583123}}",/v3/places/4c399a9f18e72d7f327e1af5,Bangalore Turf Club,8.3,47
48,"[{'id': 18018, 'name': 'Golf Course', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/golfcourse_', 'suffix': '.png'}}]","{'main': {'latitude': 12.989703, 'longitude': 77.586152}, 'roof': {'latitude': 12.989703, 'longitude': 77.586152}}",/v3/places/4b5e8e7ef964a520719229e3,Bangalore Golf Club,8.3,48
49,"[{'id': 18018, 'name': 'Golf Course', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/golfcourse_', 'suffix': '.png'}}]","{'main': {'latitude': 12.956075, 'longitude': 77.644895}, 'roof': {'latitude': 12.956075, 'longitude': 77.644895}}",/v3/places/4b501ed0f964a5200c1d27e3,Karnataka Golf Association,8,49
50,"[{'id': 18000, 'name': 'Sports and Recreation', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_', 'suffix': '.png'}}]","{'main': {'latitude': 12.969218, 'longitude': 77.605877}, 'roof': {'latitude': 12.969218, 'longitude': 77.605877}}",/v3/places/4bbf3b7782a2ef3b5c652cd2,Catholic Club,7.3,50
51,"[{'id': 18021, 'name': 'Gym and Studio', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/gym_', 'suffix': '.png'}}]","{'main': {'latitude': 12.999349, 'longitude': 77.54971}, 'roof': {'latitude': 12.999349, 'longitude': 77.54971}}",/v3/places/5118dfbbe4b0b0ae78a12cff,Snap Fitness,6.2,51
52,"[{'id': 18021, 'name': 'Gym and Studio', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/gym_', 'suffix': '.png'}}]","{'main': {'latitude': 12.967767, 'longitude': 77.601775}}",/v3/places/5334d974498e2bfacb297a62,The Ritz-Carlton Fitness Center,,52
53,"[{'id': 18065, 'name': 'Sports Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_', 'suffix': '.png'}}]","{'main': {'latitude': 12.981113, 'longitude': 77.601136}}",/v3/places/6230026162529c57410c2d62,Chakra Athletica,,53
54,"[{'id': 18000, 'name': 'Sports and Recreation', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_', 'suffix': '.png'}}]","{'main': {'latitude': 12.983256, 'longitude': 77.589765}, 'roof': {'latitude': 12.983256, 'longitude': 77.589765}}",/v3/places/516a4986498e2abccc8411ef,Karnataka Government Secretariat Club,,54
55,"[{'id': 18021, 'name': 'Gym and Studio', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/gym_', 'suffix': '.png'}}]","{'main': {'latitude': 12.943404, 'longitude': 77.607419}, 'roof': {'latitude': 12.943404, 'longitude': 77.607419}}",/v3/places/4fc8a359e4b0896b9f62456a,Moksh Gym,,55
